movement_date,movements,clients,amount_in,amount_out,net_flow,movements_in,movements_out,avg_amount,median_amount,is_partial
2024-09-15,1232,1034,15295110762.77,13264349598.31,2030761164.46,694,538,23181380.163214285,23798433.88,False
2024-09-16,1515,1158,19687255771.49,17032118301.44,2655137470.05,831,684,24237210.60919472,24162533.16,False
2024-09-17,1576,1229,19339208463.02,17955361694.54,1383846768.48,865,711,23664067.358857866,25237008.89,False
2024-09-18,1577,1216,20152299455.64,17637483138.39,2514816317.25,842,735,23963083.445802156,24683413.51,False
2024-09-19,1499,1175,17851195108.59,18365412131.4,-514217022.81,788,711,24160511.8345497,24954899.08,False
2024-09-20,1553,1213,18395613794.24,17777602019.16,618011775.08,823,730,23292476.376947843,23051186.06,False
2024-09-21,1583,1245,20617513056.53,17973221689.43,2644291367.1,857,726,24378227.887530006,25391932.51,False
2024-09-22,1584,1230,19855115884.74,17364920938.84,2490194945.9,889,695,23497497.994684342,23553256.44,False
2024-09-23,1500,1178,18511987668.85,16667935366.39,1844052302.46,836,664,23453282.023493335,24290350.7,False
2024-09-24,1577,1227,19758645578.39,16387284772.62,3371360805.77,899,678,22920691.408376664,23579117.84,False
2024-09-25,1474,1185,18520331512.77,15637025933.7,2883305579.07,819,655,23173241.144145183,23291351.23,False
2024-09-26,1536,1227,20023079716.55,17231774209.19,2791305507.36,854,682,24254462.19123698,25006492.27,False
2024-09-27,1514,1154,19769129711.5,15746901455.48,4022228256.02,847,667,23458408.961017173,23601515.06,False
2024-09-28,1489,1155,17575333894.21,16795421523.46,779912370.75,805,684,23083113.107904635,24141920.47,False
2024-09-29,1537,1224,18747227032.99,17761837322.94,985389710.05,835,702,23753457.616089784,24978683.84,False
2024-09-30,1549,1208,19088434749.39,17538602707.36,1549832042.03,839,710,23645601.973369915,23898069.83,False
2024-10-01,1528,1177,19326319753.07,16224669105.97,3101650647.1,866,662,23266353.965340313,24008544.85,False
2024-10-02,1510,1166,19819722955.22,14559638291.65,5260084663.57,889,621,22767788.90521192,23115438.13,False
2024-10-03,1589,1233,20496815398.11,17512803679.77,2984011718.34,881,708,23920465.12138452,24452560.29,False
2024-10-04,1498,1183,18991200784.31,15359874774.04,3631326010.27,843,655,22931292.0950267,23460864.55,False
2024-10-05,1572,1234,19510435454.4,16691615272.52,2818820181.88,877,695,23029294.355547074,23943263.85,False
2024-10-06,1505,1166,18137467138.4,15697246303.86,2440220834.54,852,653,22481537.17093688,22417685.22,False
2024-10-07,1534,1188,18927605561.52,16131594296.84,2796011264.68,876,658,22854758.708187744,23438955.67,False
2024-10-08,1468,1171,18851436684.3,16591048334.65,2260388349.65,801,667,24143382.165497277,24386240.41,False
2024-10-09,1545,1215,19285482231.88,16464723411.84,2820758820.04,868,677,23139291.67878317,22939450.47,False
2024-10-10,1578,1198,19772267721.06,17176065042.44,2596202678.62,881,697,23414659.545944232,23781812.23,False
2024-10-11,1565,1238,19663840502.62,16217549956.26,3446290546.36,858,707,22927406.04401278,23236511.34,False
2024-10-12,1510,1201,17279714651.8,17331134389.34,-51419737.54,805,705,22921092.080225166,22984726.45,False
2024-10-13,1475,1169,18996803894.1,16776148958.05,2220654936.05,813,662,24252849.391288135,24625441.76,False
2024-10-14,1559,1231,20067451180.87,15639131177.92,4428320002.95,889,670,22903516.586779986,23024828.9,False
2024-10-15,1525,1180,19335955180.58,15233840891.86,4102114288.72,842,683,22668718.73602623,22842760.27,False
2024-10-16,304,290,3408248631.39,3503255407.4,-95006776.01,164,140,22735210.653914474,23779484.21,True
