dimension,value,movements,amount_total,amount_in,amount_out
type,IN,26759,604445045436.15,604445045436.15,0.0
type,OUT,21698,528961823360.41,0.0,528961823360.41
fund,Renta Variable,7143,167942298441.07,90488498519.68,77453799921.39
fund,Renta Fija,7157,166885791245.7,89353279603.15,77532511642.55
fund,Internacional,6933,164622701203.5,89032611171.27,75590090032.23
fund,Conservador,6800,159423444558.54,84098646587.12,75324797971.42
fund,Crecimiento,6871,158808610609.64,84096905864.69,74711704744.95
fund,Balanceado,6787,158369618975.12,83782963599.91,74586655375.21
fund,Mercado Monetario,6766,157354403762.99,83592140090.33,73762263672.66
product,Fondo de Inversión,6067,145080690289.06,75934802753.34,69145887535.72
product,CDT,6124,143933570810.13,77800622286.33,66132948523.8
product,Cuenta de Ahorro,6124,143098125960.96,74643852204.62,68454273756.34
product,ETF,6018,140838424877.47,75701814857.47,65136610020.0
product,Acciones,6027,140666338619.13,75440502002.36,65225836616.77
product,Bonos,6040,140419881734.85,75685982780.94,64733898953.91
product,Divisas,6050,139774975964.7,75604080430.11,64170895534.59
product,Fondo de Pensión,6007,139594860540.26,73633388120.98,65961472419.28
commercial_name,(sin nombre),8067,189972303790.57,101232767557.46,88739536233.11
commercial_name,Scotiabank,4139,98089147528.55,52589720187.36,45499427341.19
commercial_name,BBVA,4049,95697316681.17,50867286040.64,44830030640.53
commercial_name,Corficolombiana,4006,94995882672.97,50567584538.64,44428298134.33
commercial_name,Bancolombia,4066,94780243051.02,50987717096.35,43792525954.67
commercial_name,Fiduciaria Bogotá,3950,94148690199.31,49998182429.37,44150507769.94
commercial_name,Valores Bancolombia,4102,93850039609.22,50531571883.18,43318467726.04
commercial_name,Davivienda,4080,93841459452.01,48246537934.77,45594921517.24
commercial_name,Skandia,4035,93396427224.88,51066778548.16,42329648676.72
commercial_name,Itaú,4030,92738712995.94,49851183408.51,42887529587.43
commercial_name,BTG Pactual,3933,91896645590.92,48505715811.71,43390929779.21
