dimension,value,movements,amount_total,amount_in,amount_out
type,IN,26328,595058249885.3,595058249885.3,0.0
type,OUT,21232,518247592097.06,0.0,518247592097.06
fund,Renta Variable,7035,164246030528.08,87884714508.82,76361316019.26
fund,Renta Fija,7040,163992818792.96,87355986425.06,76636832367.9
fund,Internacional,6762,161430762830.17,85619588790.16,75811174040.01
fund,Conservador,6711,157985704157.93,84513966016.8,73471738141.13
fund,Crecimiento,6714,155894821025.99,82949291340.44,72945529685.55
fund,Mercado Monetario,6660,155342486046.17,83848723741.45,71493762304.72
fund,Balanceado,6638,154413218601.06,82885979062.57,71527239538.49
product,Fondo de Inversión,5920,141685434101.06,74256469995.99,67428964105.07
product,Cuenta de Ahorro,6017,141214932909.77,73918114979.19,67296817930.58
product,Bonos,5999,140775974218.5,75886923817.14,64889050401.36
product,CDT,5990,140119242548.79,76419287643.13,63699954905.66
product,Divisas,5947,138059576960.31,75138417533.62,62921159426.69
product,Acciones,5901,137459376507.17,72745479336.95,64713897170.22
product,ETF,5873,137089423017.31,73906186583.07,63183236434.24
product,Fondo de Pensión,5913,136901881719.45,72787369996.21,64114511723.24
commercial_name,(sin nombre),7923,185436347391.77,98760351650.0,86675995741.77
commercial_name,Scotiabank,4084,97418893294.13,52548447175.41,44870446118.72
commercial_name,BBVA,3959,94231011155.68,49788326143.71,44442685011.97
commercial_name,Itaú,3998,93693597215.11,50534567315.84,43159029899.27
commercial_name,Corficolombiana,3934,93189510527.9,50271786619.32,42917723908.58
commercial_name,Skandia,3949,92759935050.07,50599675403.28,42160259646.79
commercial_name,Valores Bancolombia,4036,92617767371.31,49622078180.01,42995689191.3
commercial_name,Davivienda,4017,92233107051.84,48233071294.35,44000035757.49
commercial_name,Fiduciaria Bogotá,3865,91174512687.43,49307175029.62,41867337657.81
commercial_name,Bancolombia,3947,90846259753.23,48408558136.44,42437701616.79
commercial_name,BTG Pactual,3848,89704900483.89,46984212937.32,42720687546.57
