change_id,snapshot_date,change_type,movement_key,amount_before,amount_after,amount_delta,id_cliente,fund,product,type,commercial_name
54603,2024-10-16,UPDATED,b8c6a9e057b6a67a803b4c5d84e1aaf29979573b9cdaa513bc6a062eb04a004f,-46115246.52,47275701.31,93390947.83,CLI002348,Renta Fija,Cuenta de Ahorro,IN,BTG Pactual
59440,2024-10-16,UPDATED,e913f858a1a37a262691733d022215bfa5119ab8b5383fc7b1b6d4ad72f7ea8e,-48269149.55,44913489.51,93182639.06,CLI000797,Balanceado,Acciones,IN,
50214,2024-10-16,UPDATED,9647d4ce38141b3369e1d986d12d4aa89801b2301a91d374e7d6d4de97a8f529,-29956033.82,47981567.98,77937601.8,CLI001324,Mercado Monetario,Bonos,IN,Corficolombiana
53314,2024-10-16,UPDATED,510a88f94d533e9f4bb7629a07e12d7095b9f2918746c6d737c526e8780649fc,-28694603.7,47437523.69,76132127.39,CLI000569,Renta Fija,Fondo de Inversión,IN,Scotiabank
57611,2024-10-16,UPDATED,30a55d7f923329af4be30bffc4cba38be550707988f49759166ae832290f4741,-38877014.76,35819436.7,74696451.46,CLI000021,Conservador,Divisas,IN,Itaú
48511,2024-10-16,UPDATED,91980c388ac5a58b785e3192353a880e2505ba20ef6816c4c91499dc6495ed5d,-30204909.27,44169689.32,74374598.59,CLI000753,Renta Variable,Bonos,IN,Corficolombiana
48522,2024-10-16,UPDATED,d2081a3cf665cdef1194c0881f35853825c47490f74165baf6fed883ab2e7a29,28906534.51,-45249780.57,-74156315.08,CLI000892,Internacional,Fondo de Pensión,IN,BTG Pactual
48598,2024-10-16,UPDATED,82de4325b3c9c78defb7f8c9a491ab4d38e9b64e83620e98f84a5629862c5e8a,46111899.71,-24751012.84,-70862912.55,CLI001946,Mercado Monetario,Fondo de Pensión,IN,Bancolombia
60028,2024-10-16,UPDATED,4da5759104ec46bbc19568e18dbbb089cd592bca7fc8b42e323ac61b7224dd03,-34141642.83,35407249.78,69548892.61,CLI002095,Balanceado,ETF,IN,Skandia
61876,2024-10-16,UPDATED,c4c8b70d7ec0bed63538a589ea4d6083c80f986653954941b90978ddb3d36c69,-42425044.36,26888024.81,69313069.17,CLI001458,Renta Variable,Bonos,IN,
53921,2024-10-16,UPDATED,2828bf4edacf008bd36bcc924693bcdfe29e4ad320195b5718cd70ebb31a1859,-44468539.7,24758531.14,69227070.84,CLI002536,Renta Variable,Fondo de Inversión,IN,Scotiabank
61240,2024-10-16,UPDATED,8f9d0949a1c79dd7c294da56f2a63a81cd0e097f06a9d0c31235e35cd6bcd2cd,-19139696.55,49936082.19,69075778.74,CLI001867,Mercado Monetario,Acciones,IN,
56386,2024-10-16,UPDATED,2c9ba2f80b022b37ca594162a4b173c697c9f8d6e74ecb0ff0bc57d05fb4bce5,49960429.52,-17255023.93,-67215453.45,CLI001817,Conservador,Fondo de Pensión,IN,Valores Bancolombia
54035,2024-10-16,UPDATED,cd395aff84c3987cdfe08565bd26f38e6e1a45c13db92c32d056df3980123b63,27678588.76,-36736242.12,-64414830.88,CLI000767,Renta Variable,Divisas,IN,
