movement_key,id_cliente,movement_date,product,fund,type,amount,description,commercial_name
c4dd9617f9830085699af61404781e5252e826c2e88960d6a9469193a165b861,CLI001985,2024-10-12,Fondo de Pensión,Renta Fija,IN,49998466.14,Venta de activo,BTG Pactual
c4993fbd328d871e5e5be78c920ab7253aa01e7d3d6452bc3a9bf522802bad1c,CLI000035,2024-10-06,Cuenta de Ahorro,Renta Fija,IN,49997536.52,Depósito inicial,Valores Bancolombia
e3dd399fc520463111659a715ca0b0083333b5df63dddd06ce8ba158cca33874,CLI001781,2024-09-16,ETF,Balanceado,OUT,49994737.2,Ajuste por valoración,
e3e532c8c457bf14a3c7b5bd6cdf9f527e78cf06afa9225a31994f6d2a27c0ad,CLI000521,2024-10-15,Acciones,Renta Variable,OUT,49994573.98,,BBVA
fdf7022d45bbdca0204d4c8de4cedee561cc5856e279b63936272c4573beb444,CLI001452,2024-10-07,Acciones,Conservador,OUT,49988008.63,Comisión de administración,
e01a56e66bcb1710305b7b43174ad1a2f8e44ae7ad7cdff68cdd80699dccf8c3,CLI002084,2024-09-22,CDT,Renta Variable,IN,49986532.97,Redención anticipada,Itaú
e59cee2df438e9541a307923e9643f10028bcee29ecec7444f38110d97a03c57,CLI000775,2024-10-07,ETF,Internacional,IN,49982501.74,Depósito inicial,
ae925a4ffd5d8734dc9ad29d929a60d700ccca7d7d6afcf19711b4d7c57b5f40,CLI000415,2024-09-26,Cuenta de Ahorro,Mercado Monetario,OUT,49981419.91,Reinversión automática,Scotiabank
d9c840e012c2187feb2cac55f9d45ceeb88f069e0ca1f7742a9fa453b0509be9,CLI001135,2024-09-27,Bonos,Balanceado,IN,49980005.28,Venta de activo,
87f5ae84d63ae37ed3188a8f7f4aa08029482459e3d4c7efe417d5eb0ac968be,CLI002609,2024-09-30,Bonos,Balanceado,IN,49979145.19,Rendimiento del período,Davivienda
0f705f57e597ad60a4840dd400aad9b314943d19ea0bdb0d669fdcc11dd37852,CLI001707,2024-09-23,Cuenta de Ahorro,Balanceado,IN,49978640.72,Compra de activo,BTG Pactual
09f6ca5bd177ab94d5f92bac75f1b33c4450af47b6dc6c55b1dbef494de3073e,CLI002126,2024-09-26,Divisas,Conservador,IN,49978218.65,,
fc329c9846ffd2e07cd8d636fda564d491b6092fc3d7d3d5517ad6cb2eee63c1,CLI000981,2024-10-15,Cuenta de Ahorro,Renta Variable,OUT,49978214.51,Reinversión automática,Fiduciaria Bogotá
e6f15d5eea91174e5b7107284067f42c5b2f33925ab3dc94d43f833f03ed6f76,CLI002989,2024-10-13,Bonos,Renta Variable,IN,49976984.76,Retiro parcial,Corficolombiana
d3e9cdbd07cdb40ff8c6c6e0f7f61b385571f3bd98e1137e8aaee94102e6954d,CLI001917,2024-09-15,Acciones,Internacional,IN,49975886.8,Reinversión automática,Skandia
c0b853e9259482029d2012365ae189789fd55ddb83268611782421b674490e48,CLI000371,2024-09-18,Cuenta de Ahorro,Balanceado,IN,49968602.61,Compra de activo,Skandia
f8021e1f6c1f5063dc11d1bc22d5e491941b421408aedd01e6344e1abb58fb3a,CLI002950,2024-09-28,Divisas,Renta Fija,IN,49965703.09,,Corficolombiana
850f8b7f9c8cc30342eb4baea4e873f88e6d74570e7f0f7ace44950cc93339e4,CLI002841,2024-09-24,Acciones,Internacional,IN,49965425.22,Retiro parcial,Scotiabank
1ba4cf47b491fcc83aee275de945cb25f35ff650791bb65e71428ef1a2fe8113,CLI000802,2024-10-06,Divisas,Balanceado,OUT,49963472.71,Ajuste por valoración,
4638bdddb26f541f73794252620b048fc57635730426b42e756366571acca136,CLI001693,2024-09-22,Bonos,Renta Fija,IN,49963006.3,Rendimiento del período,Bancolombia
ccb2076511a2339278f27520f4aa74aa3f77bae268378bdea8fc3ec11ed19924,CLI000087,2024-09-28,Bonos,Conservador,IN,49960434.08,Compra de activo,Scotiabank
4e72ecf09c04cf41a61fd65fc5b15c56e0d0e5466866bd0f46a51568cc71e161,CLI001377,2024-09-17,Cuenta de Ahorro,Renta Fija,IN,49959444.93,Ajuste por valoración,
3cb07ba8939e9e24668c6d76e3391ba0c3bc61fcf964b70d7a7f5202e5239299,CLI002377,2024-09-22,Cuenta de Ahorro,Crecimiento,OUT,49959165.94,Retiro parcial,Bancolombia
